iter	Passed	Remaining
0	0	32
1	0	32
2	0	30
3	1	27
4	1	28
5	1	28
6	2	30
7	2	29
8	2	29
9	3	28
10	3	28
11	3	27
12	4	27
13	4	27
14	4	26
15	4	26
16	5	25
17	5	24
18	5	24
19	6	24
20	6	24
21	6	24
22	7	24
23	7	23
24	7	23
25	8	23
26	8	23
27	8	22
28	9	22
29	9	22
30	9	22
31	10	22
32	10	21
33	12	23
34	12	23
35	12	23
36	13	22
37	13	22
38	14	22
39	14	21
40	15	21
41	15	21
42	15	20
43	16	20
44	16	20
45	17	20
46	17	19
47	17	19
48	18	19
49	18	18
50	19	18
51	19	18
52	20	17
53	20	17
54	20	16
55	21	16
56	21	16
57	22	16
58	22	15
59	23	15
60	23	15
61	23	14
62	24	14
63	24	13
64	24	13
65	25	12
66	25	12
67	26	12
68	26	11
69	26	11
70	27	11
71	27	10
72	27	10
73	28	9
74	29	9
75	29	9
76	30	9
77	30	8
78	31	8
79	31	7
80	31	7
81	32	7
82	32	6
83	33	6
84	33	5
85	34	5
86	34	5
87	34	4
88	35	4
89	35	3
90	36	3
91	36	3
92	36	2
93	37	2
94	37	1
95	37	1
96	38	1
97	38	0
98	39	0
99	39	0
